Feature,Importance
H,0.68262625
albedo,0.29778025
ma,0.0044981097
ad,0.0025552881
a,0.002484782
n,0.0022894999
om,0.0016886799
i,0.0015002964
e,0.0014048856
w,0.0013414032
moid,0.0012878584
q,0.00054263097
per,0.0
per_y,0.0
